trade_date,open
2019-08-19,19.42
2019-08-16,19.03
2019-08-15,18.79
2019-08-14,19.65
2019-08-13,19.28
2019-08-12,19.41
2019-08-09,19.39
2019-08-08,19.29
2019-08-07,19.25
2019-08-06,18.98
2019-08-05,19.46
2019-08-02,19.48
2019-08-01,20.14
2019-07-31,20.44
2019-07-30,20.42
2019-07-29,21.1
2019-07-26,21.41
2019-07-25,21.35
2019-07-24,21.1
2019-07-23,20.92
2019-07-22,21.22
2019-07-19,20.66
2019-07-18,20.64
2019-07-17,20.83
2019-07-16,21.01
2019-07-15,20.58
2019-07-12,20.6
2019-07-11,21.25
2019-07-10,21.27
2019-07-09,21.2
2019-07-08,21.6
2019-07-05,21.65
2019-07-04,21.71
2019-07-03,22.24
2019-07-02,22.6
2019-07-01,23.04
2019-06-28,22.22
2019-06-27,22.3
2019-06-26,22.02
2019-06-25,22.7
2019-06-24,23.58
2019-06-21,22.36
2019-06-20,20.5
2019-06-19,21.2
2019-06-18,19.59
2019-06-17,19.4
2019-06-14,19.46
2019-06-13,19.24
2019-06-12,19.38
2019-06-11,18.39
2019-06-10,18.75
2019-06-06,19.08
2019-06-05,19.3
2019-06-04,18.72
2019-06-03,18.81
2019-05-31,18.72
2019-05-30,19.06
2019-05-29,19.04
2019-05-28,19.14
2019-05-27,18.7
2019-05-24,18.47
2019-05-23,18.33
2019-05-22,18.45
2019-05-21,17.99
2019-05-20,17.72
2019-05-17,18.59
2019-05-16,18.5
2019-05-15,18.45
2019-05-14,18.34
2019-05-13,18.6
2019-05-10,18.35
2019-05-09,18.06
2019-05-08,18.03
2019-05-07,18.55
2019-05-06,19.3
2019-04-30,20.47
2019-04-29,21.25
2019-04-26,21.08
2019-04-25,21.56
2019-04-24,21.43
2019-04-23,21.25
2019-04-22,22.2
2019-04-19,21.65
2019-04-18,21.71
2019-04-17,21.96
2019-04-16,21.4
2019-04-15,22.65
2019-04-12,22.0
2019-04-11,22.41
2019-04-10,23.0
2019-04-09,22.8
2019-04-08,23.81
2019-04-04,23.32
2019-04-03,22.25
2019-04-02,22.8
2019-04-01,22.45
2019-03-29,21.2
2019-03-28,20.88
2019-03-27,21.18
2019-03-26,22.0
2019-03-25,22.28
2019-03-22,23.1
2019-03-21,23.07
2019-03-20,22.9
2019-03-19,23.35
2019-03-18,22.52
2019-03-15,22.22
2019-03-14,21.9
2019-03-13,22.68
2019-03-12,22.44
2019-03-11,21.9
2019-03-08,22.9
2019-03-07,24.3
2019-03-06,23.44
2019-03-05,23.5
2019-03-04,23.95
2019-03-01,23.31
2019-02-28,23.7
2019-02-27,23.88
2019-02-26,25.12
2019-02-25,23.72
2019-02-22,20.56
2019-02-21,20.0
2019-02-20,20.02
2019-02-19,20.0
2019-02-18,19.14
2019-02-15,19.78
2019-02-14,20.02
2019-02-13,19.75
2019-02-12,19.93
2019-02-11,19.72
2019-02-01,19.34
2019-01-31,19.0
2019-01-30,18.99
2019-01-29,18.68
2019-01-28,19.03
2019-01-25,18.62
2019-01-24,18.19
2019-01-23,18.17
2019-01-22,18.33
2019-01-21,18.44
2019-01-18,18.02
2019-01-17,18.35
2019-01-16,18.38
2019-01-15,17.84
2019-01-14,17.81
2019-01-11,17.58
2019-01-10,17.99
2019-01-09,17.8
2019-01-08,17.7
2019-01-07,17.77
2019-01-04,16.43
2019-01-03,16.2
2019-01-02,16.2
2018-12-28,15.98
2018-12-27,16.04
2018-12-26,15.75
2018-12-25,15.72
2018-12-24,15.94
2018-12-21,16.45
2018-12-20,16.39
2018-12-19,16.78
2018-12-18,17.0
2018-12-17,16.96
2018-12-14,17.46
2018-12-13,17.35
2018-12-12,17.14
2018-12-11,16.98
2018-12-10,17.15
2018-12-07,17.3
2018-12-06,17.8
2018-12-05,17.75
2018-12-04,17.51
2018-12-03,17.65
2018-11-30,16.6
2018-11-29,17.05
2018-11-28,16.51
2018-11-27,16.67
2018-11-26,16.73
2018-11-23,17.05
2018-11-22,17.25
2018-11-21,17.1
2018-11-20,17.76
2018-11-19,17.48
2018-11-16,17.35
2018-11-15,17.0
2018-11-14,17.42
2018-11-13,16.96
2018-11-12,16.79
2018-11-09,16.66
2018-11-08,17.3
2018-11-07,17.36
2018-11-06,17.32
2018-11-05,17.53
2018-11-02,18.0
2018-11-01,16.9
2018-10-31,16.4
2018-10-30,15.78
2018-10-29,15.68
2018-10-26,16.42
2018-10-25,15.35
2018-10-24,15.42
2018-10-23,16.44
2018-10-22,14.9
2018-10-19,13.75
2018-10-18,14.04
2018-10-17,14.18
2018-10-16,14.12
2018-10-15,14.26
2018-10-12,14.23
2018-10-11,14.59
2018-10-10,14.91
2018-10-09,15.02
2018-10-08,15.43
2018-09-28,15.49
2018-09-27,15.26
2018-09-26,15.24
2018-09-25,15.2
2018-09-21,14.97
2018-09-20,15.04
2018-09-19,14.72
2018-09-18,14.5
2018-09-17,14.49
2018-09-14,14.77
2018-09-13,14.86
2018-09-12,14.58
2018-09-11,14.43
2018-09-10,14.8
2018-09-07,14.98
2018-09-06,14.99
2018-09-05,15.37
2018-09-04,15.27
2018-09-03,15.25
2018-08-31,15.27
2018-08-30,15.45
2018-08-29,15.57
2018-08-28,15.79
2018-08-27,15.64
2018-08-24,15.3
2018-08-23,15.13
2018-08-22,15.25
2018-08-21,15.08
2018-08-20,14.76
2018-08-17,15.11
2018-08-16,14.59
2018-08-15,15.16
2018-08-14,15.23
2018-08-13,15.21
2018-08-10,15.54
2018-08-09,15.12
2018-08-08,15.48
2018-08-07,14.94
2018-08-06,14.73
2018-08-03,14.61
2018-08-02,15.02
2018-08-01,15.5
2018-07-31,15.49
2018-07-30,15.46
2018-07-27,15.59
2018-07-26,15.83
2018-07-25,15.77
2018-07-24,16.0
2018-07-23,15.42
2018-07-20,14.53
2018-07-19,14.49
2018-07-18,14.6
2018-07-17,14.66
2018-07-16,14.66
2018-07-13,14.72
2018-07-12,14.12
2018-07-11,14.39
2018-07-10,14.58
2018-07-09,14.31
2018-07-06,14.26
2018-07-05,14.41
2018-07-04,14.63
2018-07-03,14.34
2018-07-02,14.86
2018-06-29,14.39
2018-06-28,14.09
2018-06-27,14.41
2018-06-26,14.13
2018-06-25,14.66
2018-06-22,14.14
2018-06-21,14.71
2018-06-20,15.28
2018-06-19,16.29
2018-06-15,16.56
2018-06-14,16.47
2018-06-13,16.92
2018-06-12,16.79
2018-06-11,16.66
2018-06-08,16.99
2018-06-07,17.1
2018-06-06,16.87
2018-06-05,16.78
2018-06-04,16.92
2018-06-01,16.7
2018-05-31,16.58
2018-05-30,16.75
2018-05-29,17.32
2018-05-28,17.35
2018-05-25,17.52
2018-05-24,17.63
2018-05-23,17.83
2018-05-22,18.26
2018-05-21,18.39
2018-05-18,17.95
2018-05-17,18.25
2018-05-16,18.28
2018-05-15,18.7
2018-05-14,18.72
2018-05-11,19.18
2018-05-10,18.76
2018-05-09,18.89
2018-05-08,18.99
2018-05-07,19.08
2018-05-04,18.9
2018-05-03,18.25
